Marca,Modelo,Año,Motor,Transmision,Combustible,Asientos,KM,Precio
Porsche,Panamera S,2012,V8,Automática,Gasolina,4 Pasajeros,1,"B/.16,900 (Rebajado 11%)"
BMW,X1,2011,6 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.6,900 (Rebajado 31%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.12,900 (Rebajado 67%)"
Toyota,Prado,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,38'000,"B/.55,500 (Rebajado 1%)"
Chevrolet,Tahoe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,58'000,"B/.38,000"
Subaru,Forester,2014,4 CILINDROS TURBO,Automática,Gasolina,5 Pasajeros,95'000,"B/.12,950 (Rebajado 7%)"
Ford,Explorer,2021,2.3 Ecoboost 4CLY Turbo,Automática,Gasolina,7 Pasajeros,69'870,"B/.29,995"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,103'976,"B/.15,500"
BMW,Serie 1,2017,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,34'436,"B/.14,999"
Toyota,Land Cruiser,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,73'277,"B/.32,999"
Honda,Odyssey,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.26,900"
Mitsubishi,ASX,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.16,900"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Mercedes Benz,CLS 53,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.68,000"
Mitsubishi,Outlander,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,66'183,"B/.17,999"
Nissan,Pathfinder,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'044,"B/.8,999"
Suzuki,Vitara,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,7'808,"B/.17,999"
Ford,Explorer,2021,2.3 Ecoboost 4CLY Turbo,Automática,Gasolina,7 Pasajeros,69'870,"B/.29,995"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,103'976,"B/.15,500"
Hyundai,Tucson,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,167'382,"B/.8,500"
Nissan,Versa,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,115'515,"B/.5,999"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,1,"B/.17,999 (Rebajado 8%)"
Hyundai,Santa Fe,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,59'043,"B/.23,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,66'830,"B/.34,999 (Rebajado 5%)"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.38,999"
Toyota,Prado,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,94'818,"B/.27,999"
BMW,X5,2020,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,41'000,"B/.49,995"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Mercedes Benz,CLS 53,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.68,000"
Mitsubishi,Outlander,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,66'183,"B/.17,999"
Nissan,Pathfinder,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'044,"B/.8,999"
Suzuki,Vitara,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,7'808,"B/.17,999"
Ford,Explorer,2021,2.3 Ecoboost 4CLY Turbo,Automática,Gasolina,7 Pasajeros,69'870,"B/.29,995"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,103'976,"B/.15,500"
Hyundai,Tucson,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,167'382,"B/.8,500"
Nissan,Versa,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,115'515,"B/.5,999"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,1,"B/.17,999 (Rebajado 8%)"
Hyundai,Santa Fe,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,59'043,"B/.23,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,66'830,"B/.34,999 (Rebajado 5%)"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.38,999"
Toyota,Prado,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,94'818,"B/.27,999"
Toyota,Land Cruiser,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'683,"B/.79,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,22'442,"B/.27,500"
Mitsubishi,Eclipse,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,38'916,"B/.22,999"
BMW,Serie 1,2017,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,34'436,"B/.14,999"
Toyota,Land Cruiser,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,73'277,"B/.32,999"
Nissan,Kicks,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'000,"B/.12,500 (Rebajado 3%)"
Porsche,911,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,13'334,"B/.135,000"
BMW,X5,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'900,"B/.27,900"
BMW,X5 M,2015,3.5,Automática,Gasolina,4 Pasajeros,123'000,"B/.18,900"
Isuzu,D-MAX,2017,2. 5,5+,Diesel,2 Pasajeros,169'000,"B/.17,995 (Rebajado 2%)"
Lexus,lx600,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,17'000,"B/.147,500"
Rover,VOGUE,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,B/.52.90
Hyundai,Tucson,2011,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.7,900 (Rebajado 66%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.12,900 (Rebajado 67%)"
Toyota,Prado,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,38'000,"B/.55,500 (Rebajado 1%)"
Chevrolet,Tahoe,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'000,"B/.38,500"
Kia,Sportage,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.12,900 (Rebajado 48%)"
Honda,Odyssey,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.26,900"
Mitsubishi,ASX,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.16,900"
Nissan,X-Trail,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,140'000,"B/.9,900"
Hyundai,Santa Fe,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,59'043,"B/.23,999"
Hyundai,Tucson,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,37'000,"B/.22,900"
Kia,Sportage,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.12,900 (Rebajado 48%)"
Mazda,CX-5,2023,Motor 2.0 litros 16 válvulas SKYACTIV-G,Automática,Gasolina,5 Pasajeros,10'340,"B/.23,500 (Rebajado 4%)"
Renault,Captur,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,130,"B/.7,300"
Rover,VOGUE,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,B/.52.90
Hyundai,Tucson,2011,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.7,900 (Rebajado 66%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.12,900 (Rebajado 67%)"
Toyota,Prado,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,38'000,"B/.55,500 (Rebajado 1%)"
Chevrolet,Tahoe,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'000,"B/.38,500"
Toyota,Hilux,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'000,"B/.31,900 (Rebajado 2%)"
Land Rover,Range Rover Sport,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,44'000,"B/.34,600"
Honda,Odyssey,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.26,900"
Mitsubishi,ASX,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.16,900"
Nissan,X-Trail,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,140'000,"B/.9,900"
Hyundai,Santa Fe,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,59'043,"B/.23,999"
Hyundai,Tucson,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,37'000,"B/.22,900"
Kia,Sportage,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.12,900 (Rebajado 48%)"
Mazda,CX-5,2023,Motor 2.0 litros 16 válvulas SKYACTIV-G,Automática,Gasolina,5 Pasajeros,10'340,"B/.23,500 (Rebajado 4%)"
Renault,Captur,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,130,"B/.7,300"
Rover,VOGUE,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,B/.52.90
Hyundai,Tucson,2011,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.7,900 (Rebajado 66%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.12,900 (Rebajado 67%)"
Toyota,Prado,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,38'000,"B/.55,500 (Rebajado 1%)"
Chevrolet,Tahoe,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'000,"B/.38,500"
Toyota,Hilux,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'000,"B/.31,900 (Rebajado 2%)"
Land Rover,Range Rover Sport,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,44'000,"B/.34,600"
Honda,Odyssey,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.26,900"
Mitsubishi,ASX,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.16,900"
Nissan,X-Trail,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,140'000,"B/.9,900"
Toyota,Prado,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,60'000,"B/.51,900"
Hyundai,Santa Fe,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,59'043,"B/.23,999"
Hyundai,Tucson,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,37'000,"B/.22,900"
Kia,Sportage,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.12,900 (Rebajado 48%)"
Mazda,CX-5,2023,Motor 2.0 litros 16 válvulas SKYACTIV-G,Automática,Gasolina,5 Pasajeros,10'340,"B/.23,500 (Rebajado 4%)"
Renault,Captur,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,130,"B/.7,300"
Hyundai,Tucson,2011,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,127'000,"B/.7,900 (Rebajado 66%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.12,900 (Rebajado 67%)"
Toyota,Prado,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,38'000,"B/.55,500 (Rebajado 1%)"
Chevrolet,Tahoe,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'000,"B/.38,500"
Toyota,Hilux,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,39'000,"B/.31,900 (Rebajado 2%)"
Land Rover,Range Rover Sport,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,44'000,"B/.34,600"
Honda,Odyssey,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.26,900"
Mitsubishi,ASX,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,55'000,"B/.16,900"
Nissan,X-Trail,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,140'000,"B/.9,900"
BMW,IX xdrive 50,2024,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,13'000,"B/.98,900 (Rebajado 4%)"
Lexus,RX 450h,2018,¡Pregunta al anunciante!,Automática,Híbrido,5 Pasajeros,45'000,"B/.36,700"
Porsche,Panamera,2012,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,35'000,"B/.18,900 (Rebajado 3%)"
Toyota,Land Cruiser,2017,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,167'200,"B/.60,000"
BMW,X1,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,27'000,"B/.27,900 (Rebajado 41%)"
BMW,X1,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,52'839,"B/.24,900 (Rebajado 11%)"
Ford,Explorer Sport,2018,3.5L Ecobost V6,Automática,Gasolina,¡Pregunta al anunciante!,100'500,"B/.24,500"
Hyundai,Santa Fe,2011,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,140'000,"B/.7,995 (Rebajado 11%)"
Jeep,Wrangler,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,40'000,"B/.47,500"
Toyota,Land Cruiser,2013,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,145'000,"B/.40,000"
Suzuki,Jimny,2022,1.5,Automática,Gasolina,4 Pasajeros,45'000,"B/.17,600"
BMW,X5,2013,V6,Automática,Gasolina,5 Pasajeros,100'000,"B/.8,950 (Rebajado 10%)"
Hyundai,Tucson,2008,4 CIlindro,Manual,Gasolina,5 Pasajeros,1,"B/.4,900 (Rebajado 29%)"
Honda,Civic,2018,4 CILINDROS,Manual,Gasolina,5 Pasajeros,1,"B/.12,950 (Rebajado 7%)"
Toyota,Prado,2010,4 CILINDRO TURBO DIESEL,Automática,Gasolina,7 Pasajeros,1,"B/.19,800"
Ford,Mustang,2006,4 CILINDRO,Automática,Gasolina,4 Pasajeros,1,"B/.7,500 (Rebajado 16%)"
Acura,MDX,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.14,995"
BMW,3 Series,2015,4 CILINDROS,Automática,Gasolina,7 Pasajeros,90'000,"B/.8,950 (Rebajado 25%)"
BMW,X1,2011,6 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.6,900 (Rebajado 31%)"
BMW,X5,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,91'000,"B/.15,500 (Rebajado 11%)"
Audi,Q5,2014,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,70'500,"B/.11,000 (Rebajado 19%)"
Ford,Mustang,2017,4 CILINDRO TURBO,Manual,Gasolina,4 Pasajeros,1,"B/.21,900"
Jeep,Wrangler,2021,4 cilindros 2.0 turbo,Automática,Gas,¡Pregunta al anunciante!,40'000,"B/.44,500 (Rebajado 4%)"
Lexus,lx600,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,17'000,"B/.147,500"
Chevrolet,Tahoe,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'000,"B/.38,500"
Audi,Q5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,18'000,"B/.32,900"
MINI,Cooper,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,50'000,"B/.14,900 (Rebajado 4%)"
Audi,Q5,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,110'000,"B/.17,900 (Rebajado 3%)"
Land Rover,Velar,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,50'000,"B/.44,900"
Suzuki,Grand Vitara,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,92'000,"B/.9,995"
Hyundai,i30,2012,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,81'226,"B/.6,200 (Rebajado 10%)"
Land Rover,Range Rover Velar,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,43'750,"B/.39,995 (Rebajado 11%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,85'000,"B/.10,995"
Mazda,CX-5,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,936,"B/.22,995 (Rebajado 4%)"
Toyota,RAV4 Hybrid,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,49'800,"B/.29,995 (Rebajado 3%)"
Toyota,Hilux,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,70'000,"B/.24,995 (Rebajado 4%)"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'000,"B/.18,995 (Rebajado 5%)"
GMC,Yukon,2008,V8,Automática,Gasolina,7 Pasajeros,1,"B/.8,950 (Rebajado 6%)"
Audi,Q3,2018,4 CILINDRO TURBO,Automática,Gasolina,5 Pasajeros,80'000,"B/.14,900 (Rebajado 12%)"
Suzuki,SX4,2017,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.8,900"
Mazda,CX-9,2023,4CLY turbo,Automática,Gasolina,7 Pasajeros,20'635,"B/.35,995"
Honda,Odyssey,2020,3.5 6CYL,Automática,Gasolina,7 Pasajeros,40'200,"B/.29,995"
Ford,Escape,2020,1.5 3 CLY Turbo,Automática,Gasolina,5 Pasajeros,26'200,"B/.15,995"
Ford,Explorer,2021,2.3 Ecoboost 4CLY Turbo,Automática,Gasolina,7 Pasajeros,69'870,"B/.29,995"
Acura,MDX,2014,V6,Automática,Gasolina,5 Pasajeros,2,"B/.13,500"
Infiniti,QX56,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.6,900"
Jeep,Cherokee,2005,V6,Automática,Gasolina,5 Pasajeros,1,"B/.5,950 (Rebajado 14%)"
Porsche,Cayenne,2011,V6,Automática,Gasolina,5 Pasajeros,88'000,"B/.11,900 (Rebajado 14%)"
Volkswagen,Jetta,2011,4 cilindro,Automática,Gasolina,5 Pasajeros,1,"B/.5,950 (Rebajado 14%)"
Mazda,CX-9,2016,V6,Automática,Gasolina,7 Pasajeros,1,"B/.10,900"
Ford,F-150,2012,V6 TURBO,Automática,Gasolina,5 Pasajeros,1,"B/.14,950 (Rebajado 6%)"
Nissan,Murano,2011,V6,Automática,Gasolina,5 Pasajeros,1,"B/.5,964 (Rebajado 54%)"
Lincoln,Navigator,2012,V8,Automática,Gasolina,7 Pasajeros,1,"B/.9,950 (Rebajado 23%)"
Mercedes Benz,ML,2014,V6,Automática,Gasolina,5 Pasajeros,90'000,"B/.13,950 (Rebajado 6%)"
Nissan,Sentra,2015,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.5,900 (Rebajado 34%)"
Lexus,LX 570,2013,V8,Automática,Gasolina,7 Pasajeros,1,"B/.27,950"
Ford,Explorer,2015,V6,Automática,Gasolina,7 Pasajeros,100'000,"B/.11,900"
MG,3,2014,4 cilindro,Manual,Gasolina,4 Pasajeros,1,"B/.4,900 (Rebajado 1%)"
