Marca,Modelo,Año,Motor,Transmision,Combustible,Asientos,KM,Precio
MINI,Cooper,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,50'000,"B/.14,900 (Rebajado 4%)"
Porsche,Panamera,2012,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,35'000,"B/.18,900 (Rebajado 3%)"
Land Rover,Velar,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,50'000,"B/.44,900"
Audi,Q5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,18'000,"B/.32,900"
Nissan,Titan,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.4,500 (Rebajado 59%)"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,85'000,"B/.10,995"
Ford,EDGE,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,65'000,"B/.20,995"
BMW,X5,2014,4.4 LITROS,Automática,Gasolina,5 Pasajeros,108'000,"B/.19,000"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,77'000,"B/.18,995 (Rebajado 5%)"
Nissan,Qashqai,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,30'281,"B/.16,995"
Nissan,Versa,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,51'431,"B/.13,995"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.36,999 (Rebajado 5%)"
Toyota,Prado,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,94'818,"B/.27,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,22'442,"B/.27,500"
Toyota,Yaris,2022,1.5,Automática,Gasolina,5 Pasajeros,50'000,"B/.13,800 (Rebajado 3%)"
Mazda,CX-5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,22'662,"B/.21,000"
Suzuki,Jimny,2022,1.5,Automática,Gasolina,4 Pasajeros,45'000,"B/.17,600"
Ford,Explorer,2015,V6,Automática,Gasolina,7 Pasajeros,1,"B/.11,900"
Toyota,Hilux,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,70'000,"B/.24,995 (Rebajado 4%)"
Suzuki,Swift,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,80'000,"B/.7,500"
Mitsubishi,Outlander,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,77'035,"B/.15,900"
Chevrolet,ONIX,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,81'300,"B/.8,300"
Lexus,NX 300h,2016,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,95'000,"B/.20,000"
MINI,Cooper,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,50'000,"B/.14,900 (Rebajado 4%)"
Porsche,Panamera,2012,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,35'000,"B/.18,900 (Rebajado 3%)"
Land Rover,Velar,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,50'000,"B/.44,900"
Volkswagen,TCross,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'700,"B/.14,900"
Chevrolet,Captiva,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,46'668,"B/.17,900"
Volkswagen,TCross,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'700,"B/.14,900"
Chevrolet,Captiva,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,46'668,"B/.17,900"
Volkswagen,TCross,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'700,"B/.14,900"
Toyota,Yaris,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,160'000,"B/.6,500"
Subaru,Forester,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,120'000,"B/.15,900"
Toyota,Yaris,2001,¡Pregunta al anunciante!,Manual,Gasolina,5 Pasajeros,567'287,"B/.2,800"
Nissan,Sentra,1997,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,20'000,"B/.3,000"
Toyota,Fortuner,2018,3.0,Automática,Diesel,7 Pasajeros,53'200,"B/.33,900"
Toyota,Corolla,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,98'000,"B/.10,300"
Kia,Sportage,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,121'000,"B/.9,999"
Toyota,RAV4,2021,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,16'699,"B/.23,995"
Honda,Odyssey,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,69'798,"B/.23,900"
Toyota,Corolla,2022,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,11'000,"B/.22,500"
Nissan,X-Trail,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,75'349,"B/.11,900"
Porsche,Boxster,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,21'000,"B/.49,999 (Rebajado 7%)"
Mitsubishi,Outlander,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,83'000,"B/.13,900 (Rebajado 7%)"
Nissan,Qashqai,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,88'691,"B/.14,900"
Hyundai,Santa Fe,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,113'544,"B/.14,999"
Honda,Pilot,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,50'512,"B/.33,900 (Rebajado 3%)"
Mitsubishi,Lancer,1998,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,382'454,"B/.2,100"
Isuzu,D-MAX,2013,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,227'000,"B/.4,000"
Audi,Q7,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,105'000,"B/.20,500 (Rebajado 13%)"
Geely,GX3,2024,1.5,Automática,Gasolina,5 Pasajeros,41,"B/.14,600 (Rebajado 1%)"
Honda,Accord,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,27'000,"B/.22,500"
Toyota,Land Cruiser,2024,4.5L Turbo Diesel V8,Manual,Diesel,4 Pasajeros,80,"B/.72,900"
Toyota,Tundra,2023,3.5L doble Turbo V6 con Intercooler,Automática,Gasolina,5 Pasajeros,52,"B/.93,366"
Toyota,Tacoma,2023,V6 3.5L,Automática,Gasolina,5 Pasajeros,47,"B/.66,998"
Lexus,RX 450h,2023,4 Cilindros Turbo de 2.4 litros,Automática,Híbrido,5 Pasajeros,46,"B/.89,600 (Rebajado 1%)"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Toyota,Prado,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,94'818,"B/.27,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,22'442,"B/.27,500"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.36,999 (Rebajado 5%)"
Isuzu,D-MAX,2014,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,104'026,"B/.15,900"
Ford,Explorer Sport,2018,3.5L Ecobost V6,Automática,Gasolina,¡Pregunta al anunciante!,100'500,"B/.24,500"
Hyundai,Tucson,2016,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,167'382,"B/.8,500"
Nissan,Pathfinder,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'044,"B/.8,999"
Nissan,Frontier,2017,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,140'945,"B/.14,999"
Porsche,Cayenne,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,82'000,"B/.33,000"
Mercedes Benz,350,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,99'000,"B/.36,000 (Rebajado 5%)"
Land Rover,Range Rover Sport,2015,3.0 turbo Disel,Automática,Diesel,5 Pasajeros,74'000,"B/.33,900"
Hyundai,Creta,2020,"1,5",Automática,Gasolina,5 Pasajeros,33'000,"B/.12,800 (Rebajado 1%)"
Porsche,Cayenne,2011,V6,Automática,Gasolina,5 Pasajeros,88'000,"B/.11,900 (Rebajado 14%)"
Toyota,Prado,2022,2.8 TURBO DIESEL,Automática,Diesel,7 Pasajeros,19'800,"B/.50,999"
Kia,Carnival,2019,4 cILINDRO DIESEL,Automática,Diesel,7-10 Pasajeros,84'000,"B/.15,900 (Rebajado 11%)"
Lexus,RX 300,1999,V6,Automática,Gasolina,5 Pasajeros,1,"B/.3,950"
Nissan,Sentra,2015,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.5,900 (Rebajado 34%)"
BMW,X1,2011,6 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.6,900 (Rebajado 31%)"
BMW,X1,2012,4 cilindro,Automática,Gasolina,5 Pasajeros,1,"B/.5,900 (Rebajado 26%)"
Subaru,Forester,2014,4 CILINDROS TURBO,Automática,Gasolina,5 Pasajeros,95'000,"B/.12,950 (Rebajado 7%)"
MG,3,2014,4 cilindro,Manual,Gasolina,4 Pasajeros,1,"B/.4,900 (Rebajado 1%)"
Toyota,Prado,2005,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.10,500 (Rebajado 4%)"
Toyota,Prado,2010,4 CILINDRO TURBO DIESEL,Automática,Gasolina,7 Pasajeros,1,"B/.19,800"
Volkswagen,Jetta,2011,4 cilindro,Automática,Gasolina,5 Pasajeros,1,"B/.5,950 (Rebajado 14%)"
Mercedes Benz,ML,2014,V6,Automática,Gasolina,5 Pasajeros,90'000,"B/.13,950 (Rebajado 6%)"
Mazda,CX-9,2016,V6,Automática,Gasolina,7 Pasajeros,1,"B/.10,900"
MG,MG 350,2015,4 cilindros,Manual,Gasolina,5 Pasajeros,1,"B/.4,900 (Rebajado 30%)"
Jeep,Cherokee,2005,V6,Automática,Gasolina,5 Pasajeros,1,"B/.5,950 (Rebajado 14%)"
Acura,MDX,2014,V6,Automática,Gasolina,5 Pasajeros,2,"B/.13,500"
Toyota,RAV4,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,89'697,"B/.13,900"
Infiniti,QX60,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,35'000,"B/.25,000"
Toyota,RAV4,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,155'000,"B/.9,900"
Mazda,CX-3,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,62'400,"B/.11,500"
Toyota,Corolla,2012,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,180'000,"B/.6,999"
Honda,HR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,59'917,"B/.11,500"
Subaru,Forester,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,128'000,"B/.11,900"
Hyundai,Elantra,2000,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,999'999,"B/.1,900"
Mercedes Benz,AMG GT,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,38'000,"B/.89,900 (Rebajado 3%)"
Acura,MDX,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'700,"B/.27,900 (Rebajado 10%)"
Mercedes Benz,GLE-Class,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,25'300,"B/.68,200 (Rebajado 6%)"
BMW,X3,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,37'000,"B/.27,870"
Audi,Q3,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,75'000,"B/.21,800"
Hyundai,Santa Fe,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,65'000,"B/.11,900 (Rebajado 13%)"
Hyundai,Accent,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,70'000,"B/.9,500"
Toyota,Land Cruiser,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,91'085,"B/.58,000"
Lexus,GX 460,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,70'000,"B/.26,900"
Porsche,Macan,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,49'000,"B/.48,900"
Porsche,Carrera GT,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,23'000,"B/.89,900"
Porsche,Panamera,2014,¡Pregunta al anunciante!,Automática,Híbrido,4 Pasajeros,47'800,"B/.38,000"
Kia,Sportage,2015,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,68'300,"B/.11,900 (Rebajado 8%)"
BMW,X1,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,30'000,"B/.18,900 (Rebajado 83%)"
Toyota,Prado,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,49'000,"B/.67,900"
Ford,Explorer,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.8,500"
Lexus,RX 450h,2018,¡Pregunta al anunciante!,Automática,Híbrido,5 Pasajeros,45'000,"B/.36,700"
Toyota,Land Cruiser,2017,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,167'200,"B/.60,000"
BMW,X1,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,27'000,"B/.27,900 (Rebajado 41%)"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,39'000,"B/.17,900 (Rebajado 28%)"
Jeep,Wrangler,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,40'000,"B/.47,500"
Toyota,Land Cruiser,2013,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,145'000,"B/.40,000"
BMW,X5,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,91'000,"B/.15,500 (Rebajado 11%)"
Jeep,Wrangler,2021,4 cilindros 2.0 turbo,Automática,Gas,¡Pregunta al anunciante!,40'000,"B/.44,500 (Rebajado 4%)"
Audi,Q5,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,110'000,"B/.17,900 (Rebajado 3%)"
Lexus,RX,2020,¡Pregunta al anunciante!,Automática,Híbrido,¡Pregunta al anunciante!,35'000,"B/.39,900"
BMW,M4,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'000,"B/.45,900"
Toyota,Prado,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,60'000,"B/.51,900"
Mazda,CX-5,2023,Motor 2.0 litros 16 válvulas SKYACTIV-G,Automática,Gasolina,5 Pasajeros,10'340,"B/.23,500 (Rebajado 4%)"
Renault,Captur,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,130,"B/.6,900 (Rebajado 5%)"
Land Rover,Defender,2012,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,56'000,"B/.55,000"
ZX Auto,Terralord,2022,2.5 Diésel,Automática,Diesel,5 Pasajeros,100'000,"B/.16,500"
Jaguar,XE,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,60'000,"B/.11,900 (Rebajado 5%)"
Aston Martin,V8 Vantage,2007,V8,Manual,Gasolina,2 Pasajeros,25'000,"B/.54,900"
Land Rover,Range Rover Sport,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,45'900,"B/.67,900"
Toyota,Land Cruiser,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,140'000,"B/.48,000 (Rebajado 4%)"
Nissan,CIVILIAN,2015,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,28'000,"B/.42,900"
Mercedes Benz,GLE-Class,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,45'000,"B/.23,900"
Toyota,Land Cruiser,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,148'000,"B/.60,999"
Mazda,CX-3,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,64'000,"B/.15,500"
Mercedes Benz,CLS 53,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.68,000"
Nissan,Kicks,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'000,"B/.12,500 (Rebajado 3%)"
Porsche,911,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,13'334,"B/.135,000"
BMW,X5,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'900,"B/.27,900"
BMW,X1,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,30'000,"B/.17,900"
Subaru,Forester,2014,4 CILINDROS TURBO,Automática,Gasolina,5 Pasajeros,95'000,"B/.12,950 (Rebajado 7%)"
Chevrolet,Tahoe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,58'000,"B/.38,000"
Toyota,Prado,2010,4 CILINDRO TURBO DIESEL,Automática,Gasolina,7 Pasajeros,1,"B/.19,800"
MG,3,2014,4 cilindro,Manual,Gasolina,4 Pasajeros,1,"B/.4,900 (Rebajado 1%)"
Porsche,Cayenne,2012,¡Pregunta al anunciante!,Automática,Gas,¡Pregunta al anunciante!,116'629,"B/.13,500 (Rebajado 16%)"
Porsche,718 Boxster,2017,¡Pregunta al anunciante!,Automática,Gas,¡Pregunta al anunciante!,46'000,"B/.56,888"
Mercedes Benz,GLA-Class,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,84'599,"B/.14,999"
Nissan,Murano,2022,¡Pregunta al anunciante!,Automática,Gas,¡Pregunta al anunciante!,29'500,"B/.24,500"
Toyota,Hilux,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,70'000,"B/.31,000"
Ford,Explorer,2014,¡Pregunta al anunciante!,Automática,Gasolina,7 Pasajeros,116'000,"B/.11,000"
BMW,330,2019,2.0L Turbo,Automática,Gasolina,5 Pasajeros,19'900,"B/.34,499 (Rebajado 1%)"
Ford,Bronco,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'000,"B/.53,000 (Rebajado 4%)"
BMW,X5,2013,V6,Automática,Gasolina,5 Pasajeros,100'000,"B/.8,950 (Rebajado 10%)"
Subaru,Forester,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,120'000,"B/.12,500"
Ford,F-150,2012,V6 TURBO,Automática,Gasolina,5 Pasajeros,1,"B/.14,950 (Rebajado 6%)"
Infiniti,QX56,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.6,900"
GMC,Yukon,2008,V8,Automática,Gasolina,7 Pasajeros,1,"B/.8,950 (Rebajado 6%)"
Suzuki,SX4,2017,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.8,900"
Nissan,Murano,2011,V6,Automática,Gasolina,5 Pasajeros,1,"B/.5,964 (Rebajado 54%)"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,1,"B/.17,499 (Rebajado 3%)"
Changan,CS75 PLUS,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,26'000,"B/.24,999 (Rebajado 7%)"
Land Rover,Discovery,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,115'000,"B/.20,900 (Rebajado 9%)"
Volvo,XC90,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,47'000,"B/.35,900 (Rebajado 3%)"
Isuzu,D-MAX,2017,2. 5,5+,Diesel,2 Pasajeros,169'000,"B/.17,775 (Rebajado 1%)"
Ford,Explorer,2013,3500 cc,Automática,Gasolina,7 Pasajeros,93'000,"B/.11,500"
Ford,F-150,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.31,999"
Nissan,Frontier,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,1,"B/.19,799"
Porsche,Panamera,2012,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,35'000,"B/.16,900 (Rebajado 11%)"
Audi,Q5,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,18'000,"B/.29,900 (Rebajado 9%)"
